adobe-source-sans-pro-fonts 3.006-2
aic94xx-firmware 30-9
alias-tips-git r101.29bf28c-1
alsa-plugins 1:1.2.2-2
alsa-tools 1.2.2-1
alsa-utils 1.2.3-2
android-file-transfer 3.9-2
angular-cli 9.1.1-1
ant-dracula-gtk-theme 1.3.0-3
apache 2.4.43-1
arandr 0.1.10-4
aria2 1.35.0-2
arno-iptables-firewall 2.0.3-1
aspell-en 2019.10.06-1
atool 0.39.0-7
autoconf 2.69-7
automake 1.16.2-3
base 2-2
bash-completion 2.10-2
betterlockscreen-git r111.d688307-1
binutils 2.34-5
bison 3.6.4-1
bleachbit 4.0.0-3
bluez-hid2hci 5.54-2
bluez-utils 5.54-2
calc 2.12.7.1-2
capitaine-cursors 4-1
catsay v0.2.0.8.r11.g6abd981-1
cheese 3.34.0+23+gcac6d3a1-1
chezmoi 1.8.3-2
cli-visualizer-git 1:487.4fc1552-1
clipit 1.4.5-1
cmatrix 2.0-2
code 1.47.2-2
colorpicker 1.0.f5d441a-2
colorz 1.0.3-1
compton-tryone-git 0.1_beta2.95.g241bbc5-1
dhcpcd 9.1.4-2
dialog 1:1.3_20200327-1
discord 0.0.10-3
dmenu 4.9-2
docker 1:19.03.12-2
dos2unix 7.4.1-2
dosfstools 4.1-3
dunst 1.4.1-1
easytag 2.4.3-3
efibootmgr 17-1
elasticsearch 7.7.0-2
enchant 2.2.8-3
etcher-bin 1.5.100-1
fakeroot 1.24-2
feh 3.4.1-1
ffcast 1:2.5.0-1
ffmpegthumbnailer 2.2.2-2
file 5.39-1
findutils 4.7.0-2
firefox 78.0.2-1
flashfocus-git v2.1.3.r0.g694bd97-1
flashplugin 32.0.0.403-1
flex 2.6.4-3
fltrdr 0.3.1-1
font-manager 0.7.7-1
fonts-meta-extended-lt 3-1
fzf 0.21.1-2
gawk 5.1.0-1
gbacklight r5.6c053a2-1
gcc 10.1.0-2
geany 1.36-2
gettext 0.20.2-1
gimp 2.10.20-1
git 2.27.0-1
gksu 2.0.2-6
glxosd 3.2.2-1
gnome-calculator 3.36.0-1
gnome-keyring 1:3.36.0-1
google-chrome 84.0.4147.89-1
googler 4.1-1
gotop 4.0.0-1
gparted 1.1.0-1
grep 3.4-1
groff 1.22.4-3
grub 2:2.04-7
grub-customizer 5.1.0-2
gst-libav 1.16.2-2
gtk-theme-flat-color-git 20190816.34f161c-1
gucharmap 13.0.0-1
gwe 0.15.1-1
gzip 1.10-3
hardinfo 0.5.1.816.g877ea2b-2
heroku-cli 7.42.1-1
highlight 3.57-1
htop 2.2.0-3
hunspell-en_US 2019.10.06-1
i3-gaps 4.18.1-2
icedtea-web 1.8.3-2
inkscape 1.0-5
inxi 3.1.04-1
ionic-cli 4.10.2-1
iotop 0.6-7
jq 1.6-3
keychain 2.8.5-2
kitty 0.18.1-2
languagetool 5.0-1
libmtp 1.1.17-1
libmythes 1:1.2.4-4
libreoffice-still 6.3.6-2
libtool 2.4.6+42+gb88cebd5-13
lightdm-webkit2-greeter 2.2.5-3
lightscreen 2.4-5
linux 5.7.10.arch1-1
linux-firmware 20200619.e96c121-1
lolcat 100.0.0-2
lshw B.02.19.2-1
lsof 4.93.2-3
lxappearance-gtk3 0.6.3-3
m4 1.4.18-3
maim 5.6.3-2
make 4.3-3
mariadb 10.4.13-1
mediainfo 20.03-1
mesa 20.1.3-1
mimeo 2019.7-2
mingetty 1.08-4
mlocate 0.26.git.20170220-3
modemmanager 1.14.0-1
mopidy 3.0.2-2
mpc 0.33-2
mpd 0.21.25-1
mpdris2 0.8-3
mpv 1:0.32.0-4
mtools 4.0.24-1
mupdf 1.17.0-2
mythes-en 20060306-5
nano 4.9.3-1
nautilus 3.36.3-1
ncmpcpp 0.8.2-12
ncpamixer 1.3.3-1
neofetch 7.0.0-1
nerd-fonts-hack 2.1.0-3
netctl 1.23-1
network-manager-applet 1.18.0-1
networkmanager-dmenu-git r106.345e985-1
networkmanager-openconnect 1.2.6-2
networkmanager-openvpn 1.8.12-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-2
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2
noto-fonts 20190926-4
npm 6.14.7-1
numlockx 1.2-5
nvidia 450.57-4
nvidia-settings 450.57-1
nvidia-utils 450.57-2
nvtop 1.0.0-2
otf-fira-code 4-1
packagekit-qt5 1.0.2-1
pacman 5.2.2-1
pacman-contrib 1.3.0-2
pagraphcontrol-git 1.0.11.r5.g54e1ce4-1
pamac-aur 9.5.6-1
paman 0.9.4-6
papirus-folders-git 1.7.0.0.g84007c1-1
papirus-icon-theme 20200702-1
patch 2.7.6-8
pavucontrol 1:4.0-2
peco 0.5.7-2
perl-anyevent-i3 0.17-6
perl-image-exiftool 12.00-2
perl-json-xs 4.0-4
pipes.sh 1.3.0-1
pkgconf 1.7.3-1
pkgstats 2.4.2-2
polkit-gnome 0.105-5
polybar 3.4.3-1
popcorntime 0.4.4-1
postman 7.28.0-1
powerline-fonts 2.8.1-1
pqiv 2.11-3
pulseaudio 13.0-3
pulseaudio-bluetooth 13.0-3
pulseaudio-equalizer 13.0-3
python-colorthief 0.2.1-1
python-haishoku 1.1.8-1
python-jinja 2.11.2-1
